order_id,order_time,product_name,product_category,product_ip,order_amount,payment_method,payment_source,customer_id,promotion_id,promotion_name,discount_amount
ORD20240301001,2024-03-01 09:15:00,经典招牌拿铁,咖啡饮品,自营,25.00,微信,线上,CUST001,PROMO001,新品首发,2.50
ORD20240301002,2024-03-01 09:30:00,澳白咖啡,咖啡饮品,自营,28.00,支付宝,线上,CUST002,PROMO001,新品首发,2.80
ORD20240301003,2024-03-01 10:00:00,美式咖啡,咖啡饮品,自营,18.00,微信,线上,CUST003,,,0.00
ORD20240301004,2024-03-01 10:15:00,摩卡咖啡,咖啡饮品,自营,32.00,银行卡,线下,CUST004,PROMO002,会员日,3.20
ORD20240301005,2024-03-01 10:30:00,焦糖玛奇朵,咖啡饮品,自营,30.00,微信,线上,CUST005,PROMO001,新品首发,3.00
ORD20240301006,2024-03-01 11:00:00,卡布奇诺,咖啡饮品,自营,26.00,支付宝,线上,CUST006,,,0.00
ORD20240301007,2024-03-01 11:30:00,抹茶拿铁,茶饮系列,自营,28.00,微信,线上,CUST007,PROMO003,下午茶套餐,2.80
ORD20240301008,2024-03-01 12:00:00,草莓奶昔,奶茶系列,迪士尼,35.00,微信,线上,CUST008,PROMO004,迪士尼联名,5.00
ORD20240301009,2024-03-01 12:30:00,巧克力圣代,甜品系列,自营,22.00,现金,线下,CUST009,,,0.00
ORD20240301010,2024-03-01 13:00:00,蓝莓松饼,甜品系列,自营,18.00,微信,线上,CUST010,PROMO003,下午茶套餐,1.80
ORD20240301011,2024-03-01 13:30:00,经典招牌拿铁,咖啡饮品,自营,25.00,支付宝,线上,CUST011,,,0.00
ORD20240301012,2024-03-01 14:00:00,澳白咖啡,咖啡饮品,自营,28.00,微信,线上,CUST012,PROMO002,会员日,2.80
ORD20240301013,2024-03-01 14:30:00,芒果西米露,茶饮系列,自营,24.00,支付宝,线上,CUST013,PROMO003,下午茶套餐,2.40
ORD20240301014,2024-03-01 15:00:00,冰雪奇缘杯,奶茶系列,迪士尼,38.00,微信,线上,CUST014,PROMO004,迪士尼联名,5.00
ORD20240301015,2024-03-01 15:30:00,美式咖啡,咖啡饮品,自营,18.00,银行卡,线下,CUST015,,,0.00
ORD20240301016,2024-03-01 16:00:00,焦糖玛奇朵,咖啡饮品,自营,30.00,微信,线上,CUST016,PROMO001,新品首发,3.00
ORD20240301017,2024-03-01 16:30:00,柠檬红茶,茶饮系列,自营,20.00,支付宝,线上,CUST017,PROMO003,下午茶套餐,2.00
ORD20240301018,2024-03-01 17:00:00,原味奶茶,奶茶系列,自营,22.00,微信,线上,CUST018,,,0.00
ORD20240301019,2024-03-01 17:30:00,提拉米苏,甜品系列,自营,28.00,现金,线下,CUST019,PROMO003,下午茶套餐,2.80
ORD20240301020,2024-03-01 18:00:00,经典招牌拿铁,咖啡饮品,自营,25.00,微信,线上,CUST020,PROMO002,会员日,2.50
ORD20240301021,2024-03-01 18:30:00,澳白咖啡,咖啡饮品,自营,28.00,支付宝,线上,CUST021,,,0.00
ORD20240301022,2024-03-01 19:00:00,巧克力可颂,甜品系列,自营,16.00,微信,线上,CUST022,PROMO005,限时折扣,1.60
ORD20240301023,2024-03-01 19:30:00,蜜桃乌龙,茶饮系列,自营,22.00,银行卡,线下,CUST023,PROMO005,限时折扣,2.20
ORD20240301024,2024-03-01 20:00:00,芋圆奶茶,奶茶系列,自营,24.00,微信,线上,CUST024,,,0.00
ORD20240301025,2024-03-01 20:30:00,美式咖啡,咖啡饮品,自营,18.00,支付宝,线上,CUST025,PROMO005,限时折扣,1.80
ORD20240302001,2024-03-02 09:00:00,经典招牌拿铁,咖啡饮品,自营,25.00,微信,线上,CUST026,PROMO002,会员日,2.50
ORD20240302002,2024-03-02 09:30:00,澳白咖啡,咖啡饮品,自营,28.00,微信,线上,CUST027,,,0.00
ORD20240302003,2024-03-02 10:00:00,摩卡咖啡,咖啡饮品,自营,32.00,支付宝,线上,CUST028,PROMO001,新品首发,3.20
ORD20240302004,2024-03-02 10:30:00,卡布奇诺,咖啡饮品,自营,26.00,微信,线上,CUST029,PROMO002,会员日,2.60
ORD20240302005,2024-03-02 11:00:00,抹茶拿铁,茶饮系列,自营,28.00,现金,线下,CUST030,,,0.00
ORD20240302006,2024-03-02 11:30:00,冰雪女王杯,奶茶系列,迪士尼,42.00,微信,线上,CUST031,PROMO004,迪士尼联名,6.00
ORD20240302007,2024-03-02 12:00:00,草莓奶昔,奶茶系列,迪士尼,35.00,支付宝,线上,CUST032,PROMO004,迪士尼联名,5.00
ORD20240302008,2024-03-02 12:30:00,美式咖啡,咖啡饮品,自营,18.00,银行卡,线下,CUST033,,,0.00
ORD20240302009,2024-03-02 13:00:00,焦糖玛奇朵,咖啡饮品,自营,30.00,微信,线上,CUST034,PROMO001,新品首发,3.00
ORD20240302010,2024-03-02 13:30:00,柠檬红茶,茶饮系列,自营,20.00,微信,线上,CUST035,PROMO003,下午茶套餐,2.00
ORD20240302011,2024-03-02 14:00:00,原味奶茶,奶茶系列,自营,22.00,支付宝,线上,CUST036,,,0.00
ORD20240302012,2024-03-02 14:30:00,经典招牌拿铁,咖啡饮品,自营,25.00,微信,线上,CUST037,PROMO002,会员日,2.50
ORD20240302013,2024-03-02 15:00:00,芒果西米露,茶饮系列,自营,24.00,微信,线上,CUST038,PROMO003,下午茶套餐,2.40
ORD20240302014,2024-03-02 15:30:00,提拉米苏,甜品系列,自营,28.00,现金,线下,CUST039,,,0.00
ORD20240302015,2024-03-02 16:00:00,澳白咖啡,咖啡饮品,自营,28.00,支付宝,线上,CUST040,PROMO001,新品首发,2.80
ORD20240302016,2024-03-02 16:30:00,巧克力圣代,甜品系列,自营,22.00,微信,线上,CUST041,PROMO005,限时折扣,2.20
ORD20240302017,2024-03-02 17:00:00,蜜桃乌龙,茶饮系列,自营,22.00,银行卡,线下,CUST042,,,0.00
ORD20240302018,2024-03-02 17:30:00,蓝莓松饼,甜品系列,自营,18.00,微信,线上,CUST043,PROMO003,下午茶套餐,1.80
ORD20240302019,2024-03-02 18:00:00,美式咖啡,咖啡饮品,自营,18.00,微信,线上,CUST044,PROMO005,限时折扣,1.80
ORD20240302020,2024-03-02 18:30:00,芋圆奶茶,奶茶系列,自营,24.00,支付宝,线上,CUST045,PROMO002,会员日,2.40
ORD20240302021,2024-03-02 19:00:00,焦糖玛奇朵,咖啡饮品,自营,30.00,微信,线上,CUST046,,,0.00
ORD20240302022,2024-03-02 19:30:00,经典招牌拿铁,咖啡饮品,自营,25.00,现金,线下,CUST047,PROMO003,下午茶套餐,2.50
ORD20240302023,2024-03-02 20:00:00,柠檬红茶,茶饮系列,自营,20.00,微信,线上,CUST048,PROMO005,限时折扣,2.00
ORD20240302024,2024-03-02 20:30:00,澳白咖啡,咖啡饮品,自营,28.00,支付宝,线上,CUST049,,,0.00
ORD20240302025,2024-03-02 21:00:00,原味奶茶,奶茶系列,自营,22.00,微信,线上,CUST050,PROMO001,新品首发,2.20